# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 04:42:23 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '% b%'   nejvnitrnejsi planety
# CONSTRAINT:  and pl_orbperstr not null            znama perioda obehu
# CONSTRAINT:  and pl_orbsmaxstr not null           znama hl. poloosa
# CONSTRAINT:  and pl_radestr not null              znamy polomer planety
# CONSTRAINT:  and pl_bmassestr not null            znama hmotnost planety
# CONSTRAINT:  and pl_bmassprov like '%mass%'       hmotnost dokazana
# CONSTRAINT:  and pl_orbeccenstr not null)         znama vystrednost
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_mass,st_masserr1,st_masserr2,st_masslim
14 Her b,1,2,Radial Velocity,2002,0,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,1.120,,,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,0.373000,0.008000,-0.006000,0,0,0.91,0.11,-0.11,0
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,0,406.00000000,4.00000000,-4.00000000,0,0.920000,0.020000,-0.020000,0,13.400,,,0,1.200,,,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,Mass,0.330000,0.050000,-0.050000,0,0,0.48,,,0
51 Eri b,3,1,Imaging,2015,0,11688.00000000,6209.25000000,-3287.25000000,0,13.200000,0.200000,-0.200000,0,13.400,,,0,1.190,,,0,635.66000,,,0,2.00000,,,0,Mass,0.450000,0.100000,-0.150000,0,0,1.75,0.05,-0.05,0
51 Peg b,1,1,Radial Velocity,1995,0,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,14.300,,,0,1.270,,,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,Mass,0.013000,0.012000,-0.012000,0,0,1.03,0.17,-0.09,0
55 Cnc b,2,5,Radial Velocity,1996,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,13.900,,,0,1.240,,,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,Mass,0.000000,0.010000,-0.010000,0,0,0.91,0.02,-0.02,0
70 Vir b,1,1,Radial Velocity,1996,0,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,12.600,,,0,1.130,,,0,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,Mass,0.398800,0.001900,-0.001900,0,0,1.09,,,0
AF Lep b,1,1,Imaging,2023,0,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,13.100,,,0,1.170,,,0,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,Mass,0.240000,0.270000,-0.150000,0,0,1.20,0.06,-0.06,0
AU Mic b,1,3,Transit,2020,0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,3.957,0.146,-0.146,0,0.353,0.013,-0.013,0,20.12000,1.57000,-1.72000,0,0.06330,0.00494,-0.00541,0,Mass,0.186000,0.036000,-0.035000,0,1,0.50,0.03,-0.03,0
BD+20 594 b,1,1,Transit,2016,0,41.68550000,0.00300000,-0.00300000,0,0.241000,0.019000,-0.017000,0,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,Mass,0.000000,,,0,0,1.67,0.40,-0.40,0
BD+63 1405 b,1,1,Radial Velocity,2021,0,1198.48000000,60.79000000,-60.79000000,0,2.060000,0.140000,-0.140000,0,12.400,,,0,1.110,,,0,3305.41543,413.17693,-349.61125,0,10.40000,1.30000,-1.10000,0,Mass,0.880000,0.020000,-0.020000,0,0,0.82,0.08,-0.08,0
BD-14 3065 b,3,1,Transit,2024,0,4.28897310,0.00000520,-0.00000520,0,0.065600,0.002600,-0.002600,0,21.590,1.050,-1.050,0,1.926,0.094,-0.094,0,3932.00000,290.00000,-280.00000,0,12.37000,0.92000,-0.87000,0,Mass,0.066000,0.009800,-0.011000,0,0,1.41,0.05,-0.05,0
CoRoT-1 b,1,1,Transit,2008,0,1.50895570,0.00000640,-0.00000640,0,0.027520,0.000220,-0.000230,0,16.700,0.900,-0.900,0,1.490,0.080,-0.080,0,327.35000,38.14000,-38.14000,0,1.03000,0.12000,-0.12000,0,Mass,0.000000,,,0,0,0.95,0.15,-0.15,0
CoRoT-10 b,1,1,Transit,2010,0,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,0.970,0.070,-0.070,0,874.00000,50.85000,-50.85000,0,2.75000,0.16000,-0.16000,0,Mass,0.530000,0.040000,-0.040000,0,0,0.89,0.05,-0.05,0
CoRoT-11 b,1,1,Transit,2010,0,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,1.430,0.030,-0.030,0,740.51000,108.06000,-108.06000,0,2.33000,0.34000,-0.34000,0,Mass,0.000000,,,0,0,1.27,0.05,-0.05,0
CoRoT-12 b,1,1,Transit,2010,0,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,16.140,1.460,-1.460,0,1.440,0.130,-0.130,0,291.43800,22.24700,-20.65800,0,0.91700,0.07000,-0.06500,0,Mass,0.070000,0.063000,-0.042000,0,0,1.08,0.08,-0.07,0
CoRoT-13 b,1,1,Transit,2010,0,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,9.920,0.157,-0.157,0,0.885,0.014,-0.014,0,415.70400,20.97600,-20.97600,0,1.30800,0.06600,-0.06600,0,Mass,0.000000,,,0,0,1.09,0.02,-0.02,0
CoRoT-14 b,1,1,Transit,2010,0,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,12.220,0.780,-0.780,0,1.090,0.070,-0.070,0,2415.40000,190.70000,-190.70000,0,7.60000,0.60000,-0.60000,0,Mass,0.000000,,,0,0,1.13,0.09,-0.09,0
CoRoT-16 b,1,1,Transit,2011,0,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,13.110,1.790,-1.570,0,1.170,0.160,-0.140,0,170.03200,27.01400,-26.37900,0,0.53500,0.08500,-0.08300,0,Mass,0.330000,0.090000,-0.100000,0,0,1.10,0.08,-0.08,0
CoRoT-17 b,1,1,Transit,2011,0,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,11.430,0.780,-0.780,0,1.020,0.070,-0.070,0,772.29000,95.34000,-95.34000,0,2.43000,0.30000,-0.30000,0,Mass,0.000000,,,0,0,1.04,0.10,-0.10,0
CoRoT-18 b,1,1,Transit,2011,0,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,14.680,2.020,-2.020,0,1.310,0.180,-0.180,0,1102.82000,120.77000,-120.77000,0,3.47000,0.38000,-0.38000,0,Mass,0.080000,,,1,0,0.95,0.15,-0.15,0
CoRoT-19 b,1,1,Transit,2011,0,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,14.460,0.340,-0.340,0,1.290,0.030,-0.030,0,352.78000,19.07000,-19.07000,0,1.11000,0.06000,-0.06000,0,Mass,0.047000,0.045000,-0.045000,0,0,1.21,0.05,-0.05,0
CoRoT-2 b,2,1,Transit,2008,0,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,16.432,0.471,-0.493,0,1.466,0.042,-0.044,0,1102.82000,69.92000,-69.92000,0,3.47000,0.22000,-0.22000,0,Mass,0.014300,0.007700,-0.007600,0,1,0.96,0.08,-0.08,0
CoRoT-20 b,1,2,Transit,2011,0,9.24285000,0.00030000,-0.00030000,0,0.090000,0.002000,-0.002000,0,9.416,0.448,-0.448,0,0.840,0.040,-0.040,0,1366.66900,63.56600,-63.56600,0,4.30000,0.20000,-0.20000,0,Mass,0.590000,0.020000,-0.020000,0,0,1.14,0.08,-0.08,0
CoRoT-21 b,1,1,Transit,2012,0,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,14.572,1.569,-1.569,0,1.300,0.140,-0.140,0,718.29580,98.52730,-98.52730,0,2.26000,0.31000,-0.31000,0,Mass,0.000000,,,0,0,1.29,0.09,-0.09,0
CoRoT-22 b,1,1,Transit,2014,0,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,4.880,0.170,-0.390,0,0.435,0.015,-0.035,0,12.20000,14.00000,-8.80000,0,0.03800,0.04400,-0.02800,0,Mass,0.077000,0.300000,-0.042000,0,0,1.10,0.05,-0.05,0
CoRoT-23 b,1,1,Transit,2011,0,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,11.770,1.460,-1.460,0,1.050,0.130,-0.130,0,889.90000,95.30000,-95.30000,0,2.80000,0.30000,-0.30000,0,Mass,0.160000,0.020000,-0.020000,0,0,1.14,0.08,-0.08,0
CoRoT-24 b,1,2,Transit,2014,0,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,3.700,0.400,-0.400,0,0.330,0.040,-0.040,0,5.70000,,,1,0.01800,,,1,Mass,0.000000,,,0,0,0.91,0.09,-0.09,0
